stock,Comment,Date ,Closing Price,entry_type
LGBBROSLTD.NS,fresh buy,2023-09-15,1046.9000244140625,Reversal entry
MAANALU.NS,fresh buy,2023-09-15,96.4499969482422,Golden entry
MKPL.NS,fresh buy,2023-09-15,840.5,Reversal entry
MSTCLTD.NS,fresh buy,2023-09-15,438.0499877929688,Reversal entry
MUTHOOTFIN.NS,fresh buy,2023-09-15,1325.550048828125,Reversal entry
NATCOPHARM.NS,fresh buy,2023-09-15,882.25,Reversal entry
NAUKRI.NS,fresh buy,2023-09-15,4484.60009765625,Reversal entry
OLECTRA.NS,fresh buy,2023-09-15,1254.550048828125,Reversal entry
PAYTM.NS,fresh buy,2023-09-15,885.1500244140625,Reversal entry
PNBGILTS.NS,fresh buy,2023-09-15,67.1500015258789,Golden entry
RBA.NS,fresh buy,2023-09-15,128.35000610351562,Golden entry
RELCAPITAL.NS,fresh buy,2023-09-14,12.0,Golden entry
SATIN.NS,fresh buy,2023-09-15,241.1999969482422,Golden entry
STARCEMENT.NS,fresh buy,2023-09-15,163.10000610351562,Reversal entry
THYROCARE.NS,fresh buy,2023-09-15,569.5,Reversal entry
TI.NS,fresh buy,2023-09-15,215.75,Reversal entry
VIDHIING.NS,fresh buy,2023-09-15,428.4500122070313,Reversal entry
WELENT.NS,fresh buy,2023-09-15,297.45001220703125,Reversal entry
AARTIPHARM.NS,fresh buy,2023-09-18,456.1499938964844,Golden entry
AGI.NS,fresh buy,2023-09-18,744.8499755859375,Reversal entry
BAJAJFINSV.NS,fresh buy,2023-09-18,1559.949951171875,Reversal entry
BARBEQUE.NS,fresh buy,2023-09-18,733.2999877929688,Reversal entry
BIGBLOC.NS,fresh buy,2023-09-18,173.6999969482422,Golden entry
EASEMYTRIP.NS,fresh buy,2023-09-18,44.70000076293945,Reversal entry
DYNAMATECH.NS,fresh buy,2023-09-18,4126.35009765625,Reversal entry
ENDURANCE.NS,fresh buy,2023-09-18,1649.6500244140625,Reversal entry
FINEORG.NS,fresh buy,2023-09-18,5091.7998046875,Golden entry
HEMIPROP.NS,fresh buy,2023-09-18,120.5999984741211,Reversal entry
JUBLPHARMA.NS,fresh buy,2023-09-18,442.8999938964844,Reversal entry
MONARCH.NS,fresh buy,2023-09-18,342.1499938964844,Reversal entry
ORIENTABRA.NS,fresh buy,2023-09-15,35.29999923706055,Reversal entry
PRUDENT.NS,fresh buy,2023-09-18,1168.6500244140625,Reversal entry
RAMCOSYS.NS,fresh buy,2023-09-18,313.3999938964844,Golden entry
TATAINVEST.NS,fresh buy,2023-09-18,2689.14990234375,Golden entry
TV18BRDCST.NS,fresh buy,2023-09-18,46.59999847412109,Reversal entry
AARTIPHARM.NS,fresh buy,2023-09-18,456.1499938964844,Golden entry
AGI.NS,fresh buy,2023-09-18,744.8499755859375,Reversal entry
BARBEQUE.NS,fresh buy,2023-09-18,733.2999877929688,Reversal entry
BAJAJFINSV.NS,fresh buy,2023-09-18,1559.949951171875,Reversal entry
BIGBLOC.NS,fresh buy,2023-09-18,173.6999969482422,Golden entry
EASEMYTRIP.NS,fresh buy,2023-09-18,44.70000076293945,Reversal entry
DYNAMATECH.NS,fresh buy,2023-09-18,4126.35009765625,Reversal entry
ENDURANCE.NS,fresh buy,2023-09-18,1649.6500244140625,Reversal entry
FINEORG.NS,fresh buy,2023-09-18,5091.7998046875,Golden entry
HEMIPROP.NS,fresh buy,2023-09-18,120.5999984741211,Reversal entry
JUBLPHARMA.NS,fresh buy,2023-09-18,442.8999938964844,Reversal entry
MONARCH.NS,fresh buy,2023-09-18,342.1499938964844,Reversal entry
PRUDENT.NS,fresh buy,2023-09-18,1168.6500244140625,Reversal entry
RAMCOSYS.NS,fresh buy,2023-09-18,313.3999938964844,Golden entry
TATAINVEST.NS,fresh buy,2023-09-18,2689.14990234375,Golden entry
TV18BRDCST.NS,fresh buy,2023-09-18,46.59999847412109,Reversal entry
AUBANK.NS,fresh buy,2023-09-20,755.4500122070312,Reversal entry
CLSEL.NS,fresh buy,2023-09-20,226.8000030517578,Golden entry
CSLFINANCE.NS,fresh buy,2023-09-20,328.75,Reversal entry
DCBBANK.NS,fresh buy,2023-09-20,123.9499969482422,Reversal entry
DYNPRO.NS,fresh buy,2023-09-20,361.6000061035156,Reversal entry
ERIS.NS,fresh buy,2023-09-20,824.0499877929688,Reversal entry
ELECTCAST.NS,fresh buy,2023-09-20,65.30000305175781,Reversal entry
FORTIS.NS,fresh buy,2023-09-20,336.75,Reversal entry
GRPLTD.NS,fresh buy,2023-09-20,3850.0,Reversal entry
HIRECT.NS,fresh buy,2023-09-20,362.0,Reversal entry
JKTYRE.NS,fresh buy,2023-09-20,272.20001220703125,Reversal entry
KIRLOSENG.NS,fresh buy,2023-09-20,488.9500122070313,Reversal entry
MOLDTECH.NS,fresh buy,2023-09-20,363.6499938964844,Reversal entry
MSPL.NS,fresh buy,2023-09-20,13.0,Golden entry
NIPPOBATRY.NS,fresh buy,2023-09-20,455.1000061035156,Reversal entry
PATANJALI.NS,fresh buy,2023-09-20,1299.25,Reversal entry
RSWM.NS,fresh buy,2023-09-20,202.0,Reversal entry
SONACOMS.NS,fresh buy,2023-09-20,603.2000122070312,Golden entry
TRITURBINE.NS,fresh buy,2023-09-20,435.0,Golden entry
3MINDIA.NS,fresh buy,2023-09-22,31285.099609375,Reversal entry
CENTURYTEX.NS,fresh buy,2023-09-22,1086.5,Reversal entry
FILATEX.NS,fresh buy,2023-09-22,46.900001525878906,Reversal entry
GRPLTD.NS,fresh buy,2023-09-22,3900.0,Reversal entry
HUDCO.NS,fresh buy,2023-09-22,85.80000305175781,Golden entry
KRISHANA.NS,fresh buy,2023-09-22,472.5,Reversal entry
NELCAST.NS,fresh buy,2023-09-22,146.5500030517578,Reversal entry
OSWALAGRO.NS,fresh buy,2023-09-22,33.400001525878906,Reversal entry
PARSVNATH.NS,fresh buy,2023-09-22,10.25,Reversal entry
PFOCUS.NS,fresh buy,2023-09-22,98.0,Reversal entry
RBLBANK.NS,fresh buy,2023-09-22,233.0,Reversal entry
UFO.NS,fresh buy,2023-09-22,110.8000030517578,Reversal entry
ALLSEC.NS,fresh buy,2023-09-25,605.8499755859375,Reversal entry
ASIANPAINT.NS,fresh buy,2023-09-25,3323.25,Reversal entry
DCXINDIA.NS,fresh buy,2023-09-25,306.95001220703125,Reversal entry
DCMSRIND.NS,fresh buy,2023-09-25,140.14999389648438,Reversal entry
CYBERTECH.NS,fresh buy,2023-09-25,138.4499969482422,Reversal entry
DYNPRO.NS,fresh buy,2023-09-25,362.25,Reversal entry
FINCABLES.NS,fresh buy,2023-09-25,1102.050048828125,Reversal entry
GSFC.NS,fresh buy,2023-09-25,175.9499969482422,Reversal entry
GRPLTD.NS,fresh buy,2023-09-25,3978.0,Reversal entry
HMVL.NS,fresh buy,2023-09-25,70.1500015258789,Reversal entry
ICEMAKE.NS,fresh buy,2023-09-25,534.2999877929688,Reversal entry
INDRAMEDCO.NS,fresh buy,2023-09-25,169.0500030517578,Reversal entry
IRCTC.NS,fresh buy,2023-09-25,689.2000122070312,Reversal entry
JKIL.NS,fresh buy,2023-09-25,428.3500061035156,Reversal entry
KKCL.NS,fresh buy,2023-09-25,712.7000122070312,Reversal entry
MANORAMA.NS,fresh buy,2023-09-25,1890.4000244140625,Reversal entry
MANINFRA.NS,fresh buy,2023-09-25,151.9499969482422,Reversal entry
MINDTECK.NS,fresh buy,2023-09-25,145.10000610351562,Golden entry
NLCINDIA.NS,fresh buy,2023-09-25,135.1999969482422,Reversal entry
PRESTIGE.NS,fresh buy,2023-09-25,609.6500244140625,Reversal entry
SAFARI.NS,fresh buy,2023-09-25,3792.949951171875,Reversal entry
SBC.NS,fresh buy,2023-09-25,22.350000381469727,Reversal entry
SBGLP.NS,fresh buy,2023-09-25,359.3500061035156,Golden entry
SHK.NS,fresh buy,2023-09-25,160.5500030517578,Reversal entry
SINTERCOM.NS,fresh buy,2023-09-25,129.9499969482422,Reversal entry
SKYGOLD.NS,fresh buy,2023-09-25,302.3999938964844,Reversal entry
SONATSOFTW.NS,fresh buy,2023-09-25,1090.25,Reversal entry
STYLAMIND.NS,fresh buy,2023-09-25,1728.3499755859375,Reversal entry
SUTLEJTEX.NS,fresh buy,2023-09-25,55.150001525878906,Reversal entry
WONDERLA.NS,fresh buy,2023-09-25,687.7000122070312,Golden entry
ZENSARTECH.NS,fresh buy,2023-09-25,530.2999877929688,Reversal entry
ZUARIIND.NS,fresh buy,2023-09-25,155.85000610351562,Reversal entry
ACCELYA.NS,fresh buy,2023-09-29,1630.75,Golden entry
AJANTPHARM.NS,fresh buy,2023-09-29,1799.9000244140625,Reversal entry
APLLTD.NS,fresh buy,2023-09-29,784.4500122070312,Reversal entry
BANCOINDIA.NS,fresh buy,2023-09-29,497.1499938964844,Reversal entry
BECTORFOOD.NS,fresh buy,2023-09-29,1042.699951171875,Reversal entry
BEL.NS,fresh buy,2023-09-29,138.3000030517578,Reversal entry
CAMS.NS,fresh buy,2023-09-29,2510.550048828125,Reversal entry
CINELINE.NS,fresh buy,2023-09-29,116.3499984741211,Reversal entry
DECCANCE.NS,fresh buy,2023-09-29,540.25,Reversal entry
DIVISLAB.NS,fresh buy,2023-09-29,3765.14990234375,Reversal entry
EDELWEISS.NS,fresh buy,2023-09-29,61.25,Reversal entry
ENIL.NS,fresh buy,2023-09-29,158.4499969482422,Golden entry
FOCUS.NS,fresh buy,2023-09-29,837.2999877929688,Golden entry
GAIL.NS,fresh buy,2023-09-29,124.4000015258789,Reversal entry
GLENMARK.NS,fresh buy,2023-09-29,855.5,Reversal entry
GNFC.NS,fresh buy,2023-09-29,612.0999755859375,Reversal entry
GOCLCORP.NS,fresh buy,2023-09-29,470.5499877929688,Reversal entry
GODFRYPHLP.NS,fresh buy,2023-09-29,2177.5,Reversal entry
GREENPANEL.NS,fresh buy,2023-09-29,379.9500122070313,Reversal entry
GUJALKALI.NS,fresh buy,2023-09-29,732.6500244140625,Reversal entry
HEROMOTOCO.NS,fresh buy,2023-09-29,3057.25,Reversal entry
HINDALCO.NS,fresh buy,2023-09-29,492.6499938964844,Reversal entry
HINDCOPPER.NS,fresh buy,2023-09-29,162.39999389648438,Reversal entry
JBCHEPHARM.NS,fresh buy,2023-09-29,1482.0999755859375,Reversal entry
KCP.NS,fresh buy,2023-09-29,119.1500015258789,Reversal entry
KINGFA.NS,fresh buy,2023-09-29,2376.89990234375,Reversal entry
KITEX.NS,fresh buy,2023-09-29,207.6499938964844,Golden entry
KOTHARIPET.NS,fresh buy,2023-09-29,120.5500030517578,Reversal entry
L&TFH.NS,fresh buy,2023-09-29,133.10000610351562,Reversal entry
LIBERTSHOE.NS,fresh buy,2023-09-29,265.1000061035156,Golden entry
MSUMI.NS,fresh buy,2023-09-29,64.44999694824219,Reversal entry
MONTECARLO.NS,fresh buy,2023-09-29,797.1500244140625,Reversal entry
MSTCLTD.NS,fresh buy,2023-09-29,430.8500061035156,Reversal entry
NATIONALUM.NS,fresh buy,2023-09-29,97.1999969482422,Reversal entry
NLCINDIA.NS,fresh buy,2023-09-29,134.9499969482422,Reversal entry
NITINSPIN.NS,fresh buy,2023-09-29,292.1000061035156,Reversal entry
OBEROIRLTY.NS,fresh buy,2023-09-29,1154.3499755859375,Reversal entry
PAISALO.NS,fresh buy,2023-09-29,64.44999694824219,Reversal entry
PRIMESECU.NS,fresh buy,2023-09-29,156.0,Reversal entry
RATEGAIN.NS,fresh buy,2023-09-29,593.4500122070312,Reversal entry
RUBYMILLS.NS,fresh buy,2023-09-29,246.4499969482422,Reversal entry
SAIL.NS,fresh buy,2023-09-29,93.8499984741211,Reversal entry
SANOFI.NS,fresh buy,2023-09-29,7207.2998046875,Reversal entry
SCHAEFFLER.NS,fresh buy,2023-09-29,3314.89990234375,Reversal entry
SHRIRAMFIN.NS,fresh buy,2023-09-29,1919.3499755859373,Reversal entry
SOUTHWEST.NS,fresh buy,2023-09-29,135.60000610351562,Reversal entry
SPANDANA.NS,fresh buy,2023-09-29,834.4000244140625,Reversal entry
SPLPETRO.NS,fresh buy,2023-09-29,478.2000122070313,Reversal entry
SUNTV.NS,fresh buy,2023-09-29,612.1500244140625,Reversal entry
SUNPHARMA.NS,fresh buy,2023-09-29,1158.6500244140625,Reversal entry
TATAMOTORS.NS,fresh buy,2023-09-29,630.2000122070312,Reversal entry
TBZ.NS,fresh buy,2023-09-29,117.25,Reversal entry
THYROCARE.NS,fresh buy,2023-09-29,568.2999877929688,Reversal entry
UNIVPHOTO.NS,fresh buy,2023-09-29,444.3500061035156,Reversal entry
UNICHEMLAB.NS,fresh buy,2023-09-29,418.0,Reversal entry
VASCONEQ.NS,fresh buy,2023-09-29,58.75,Reversal entry
VISAKAIND.NS,fresh buy,2023-09-29,91.4499969482422,Reversal entry
ZODIACLOTH.NS,fresh buy,2023-09-29,137.0,Golden entry
ACC.NS,fresh buy,2023-10-03,2034.9000244140625,Reversal entry
ADVANIHOTR.NS,fresh buy,2023-10-03,91.8499984741211,Reversal entry
ASAHISONG.NS,fresh buy,2023-10-03,250.8999938964844,Reversal entry
BALAJITELE.NS,fresh buy,2023-10-03,70.19999694824219,Reversal entry
BHAGCHEM.NS,fresh buy,2023-10-03,1304.0,Reversal entry
BHAGERIA.NS,fresh buy,2023-10-03,163.39999389648438,Reversal entry
BIOCON.NS,fresh buy,2023-10-03,272.70001220703125,Reversal entry
CARTRADE.NS,fresh buy,2023-10-03,584.7999877929688,Reversal entry
BSOFT.NS,fresh buy,2023-10-03,496.8500061035156,Reversal entry
CONFIPET.NS,fresh buy,2023-10-03,89.5999984741211,Reversal entry
DEEPINDS.NS,fresh buy,2023-10-03,282.8999938964844,Golden entry
E2E.NS,fresh buy,2023-10-03,421.2000122070313,Golden entry
